"Date & Time","use [kW]","gen [kW]","Voltaje.Linea 1 [kW]","Voltaje.Linea 2 [V]","Voltaje.Linea 3 [V]","Frecuencia.Linea 1 [Hz]","r1 [kW]","r1+ [kW]","r1* [kVA]","r2 [kW]","r2* [kVA]","r3 [kW]","r4 [V]","r5 [V]","r6 [Hz]","CFE modificado [kW]","Generacion Modificado [kW]","FP GL1 [kW]","FP GL2 [kW]","FP CFE L1 []","FP CFE L2 [kW]"
2016-03-07 23:15:00,23.434550000,35.322450000,-0.000000000,267.547850000,267.200633333,60.001716667,35.322450000,35.322450000,35.842550000,11.887900000,13.746150000,-0.000000000,267.547850000,267.200633333,60.001716667,11.887900000,35.322450000,6.106966667,5.752850000,864.850000000,-2.881216667
2016-03-07 23:14:00,23.386350000,35.361550000,-0.000000000,267.614533333,267.271183333,59.980583333,35.361550000,35.361550000,35.873300000,11.975200000,13.752250000,-0.000000000,267.614533333,267.271183333,59.980583333,11.975200000,35.361550000,6.043450000,5.829983333,870.733333333,-2.818600000
2016-03-07 23:13:00,23.406300000,35.296550000,-0.000000000,267.578316667,267.228433333,59.979966667,35.296550000,35.296550000,35.811850000,11.890250000,13.715700000,-0.000000000,267.578316667,267.228433333,59.979966667,11.890250000,35.296550000,6.110200000,5.741066667,866.900000000,-2.881050000
2016-03-07 23:12:00,23.397350000,35.342200000,-0.000000000,267.637200000,267.299733333,59.976416667,35.342200000,35.342200000,35.859500000,11.944850000,13.768200000,-0.000000000,267.637200000,267.299733333,59.976416667,11.944850000,35.342200000,6.125716667,5.740966667,867.533333333,-2.894383333
2016-03-07 23:11:00,23.382450000,35.396900000,-0.000000000,267.638750000,267.353750000,59.970966667,35.396900000,35.396900000,35.899650000,12.014450000,13.798400000,-0.000000000,267.638750000,267.353750000,59.970966667,12.014450000,35.396900000,6.116950000,5.768166667,870.700000000,-2.880833333
2016-03-07 23:10:00,23.408350000,35.351150000,-0.000000000,267.541983333,267.220933333,59.967950000,35.351150000,35.351150000,35.850850000,11.942800000,13.673200000,-0.000000000,267.541983333,267.220933333,59.967950000,11.942800000,35.351150000,6.056916667,5.813083333,873.450000000,-2.791000000
2016-03-07 23:09:00,25.531350000,35.244950000,-0.000000000,267.190350000,266.826166667,59.957333333,35.244950000,35.244950000,35.733700000,9.713600000,11.343100000,-0.000000000,267.190350000,266.826166667,59.957333333,9.713600000,35.244950000,6.093733333,5.739883333,856.150000000,-1.885533333
2016-03-07 23:08:00,25.704400000,35.248100000,-0.000000000,267.377883333,266.981800000,59.973300000,35.248100000,35.248100000,35.734800000,9.543700000,11.135700000,-0.000000000,267.377883333,266.981800000,59.973300000,9.543700000,35.248100000,6.184650000,5.649550000,857.000000000,-1.944700000
2016-03-07 23:07:00,25.750500000,35.261000000,-0.000000000,267.441066667,267.038783333,59.996083333,35.261000000,35.261000000,35.743250000,9.510500000,11.088550000,-0.000000000,267.441066667,267.038783333,59.996083333,9.510500000,35.261000000,6.197683333,5.640850000,857.616666667,-1.961550000
2016-03-07 23:06:00,25.763250000,35.243900000,-0.000000000,267.573000000,267.168816667,60.017283333,35.243900000,35.243900000,35.719250000,9.480650000,11.073550000,-0.000000000,267.573000000,267.168816667,60.017283333,9.480650000,35.243900000,6.185566667,5.647600000,856.133333333,-1.949866667
2016-03-07 23:05:00,25.789550000,35.197550000,-0.000000000,267.736366667,267.309383333,60.010383333,35.197550000,35.197550000,35.694200000,9.408000000,11.046500000,-0.000000000,267.736366667,267.309383333,60.010383333,9.408000000,35.197550000,6.185100000,5.632266667,851.750000000,-1.945866667
2016-03-07 23:04:00,25.742750000,35.178050000,-0.000000000,267.772983333,267.311583333,60.004366667,35.178050000,35.178050000,35.640050000,9.435300000,11.024350000,-0.000000000,267.772983333,267.311583333,60.004366667,9.435300000,35.178050000,6.129733333,5.681350000,855.833333333,-1.895250000
2016-03-07 23:03:00,25.756900000,35.243000000,-0.000000000,267.869966667,267.445016667,60.002500000,35.243000000,35.243000000,35.702000000,9.486100000,11.072100000,-0.000000000,267.869966667,267.445016667,60.002500000,9.486100000,35.243000000,6.017633333,5.815700000,856.683333333,-1.774700000
